,title,min_salary,max_salary,currency,link,source
0,Python developer,400000,600000,KZT,https://hh.ru/vacancy/47358942?from=vacancy_search_list&query=Python,https://hh.ru
1,Junior Data Engineer (Python),120000,120000,руб.,https://hh.ru/vacancy/47018981?from=vacancy_search_list&query=Python,https://hh.ru
2,Middle Python developer,120000,180000,руб.,https://hh.ru/vacancy/46934606?from=vacancy_search_list&query=Python,https://hh.ru
3,Python developer (Middle),250000,300000,руб.,https://hh.ru/vacancy/47250597?from=vacancy_search_list&query=Python,https://hh.ru
4,Senior Python Backend Engineer,506268,666792,руб.,https://hh.ru/vacancy/47354264?from=vacancy_search_list&query=Python,https://hh.ru
5,Senior Python Developer,400000,,руб.,https://hh.ru/vacancy/47163840?from=vacancy_search_list&query=Python,https://hh.ru
6,Python Developer,200000,350000,руб.,https://hh.ru/vacancy/46660773?from=vacancy_search_list&query=Python,https://hh.ru
7,Python разработчик (Django),200000,300000,руб.,https://hh.ru/vacancy/47091859?from=vacancy_search_list&query=Python,https://hh.ru
8,"Разработчик Python (Senior, Principal)",200000,350000,руб.,https://hh.ru/vacancy/44522651?from=vacancy_search_list&query=Python,https://hh.ru
9,Backend Программист (Python),1500,2200,USD,https://hh.ru/vacancy/46870202?from=vacancy_search_list&query=Python,https://hh.ru
10,Backend developer (Python),150000,300000,руб.,https://hh.ru/vacancy/43674112?from=vacancy_search_list&query=Python,https://hh.ru
11,Python-разработчик (Middle+),150000,250000,руб.,https://hh.ru/vacancy/46772049?from=vacancy_search_list&query=Python,https://hh.ru
12,Python developer,2500,3200,USD,https://hh.ru/vacancy/45610689?from=vacancy_search_list&query=Python,https://hh.ru
13,Разработчик Python (Middle),110000,180000,руб.,https://hh.ru/vacancy/46144215?from=vacancy_search_list&query=Python,https://hh.ru
14,Middle Python Developer,160000,180000,руб.,https://hh.ru/vacancy/46618136?from=vacancy_search_list&query=Python,https://hh.ru
15,Middle/Senior Python разработчик  проектов Data Science,200000,250000,руб.,https://hh.ru/vacancy/47223800?from=vacancy_search_list&query=Python,https://hh.ru
16,Python-разработчик,150000,,руб.,https://hh.ru/vacancy/46795567?from=vacancy_search_list&query=Python,https://hh.ru
17,Python Developer,2300,3100,USD,https://hh.ru/vacancy/42992983?from=vacancy_search_list&query=Python,https://hh.ru
18,Ведущий программист Python,250000,250000,руб.,https://hh.ru/vacancy/46888928?from=vacancy_search_list&query=Python,https://hh.ru
19,Python разработчик,120000,230000,руб.,https://hh.ru/vacancy/47250451?from=vacancy_search_list&query=Python,https://hh.ru
20,Python-разработчик,150000,,руб.,https://hh.ru/vacancy/46795569?from=vacancy_search_list&query=Python,https://hh.ru
21,Ведущий Python разработчик (Удаленно),180000,200000,руб.,https://hh.ru/vacancy/47204189?from=vacancy_search_list&query=Python,https://hh.ru
22,Разработчик Python,120000,200000,руб.,https://hh.ru/vacancy/44936197?from=vacancy_search_list&query=Python,https://hh.ru
23,Backend разработчик (Python),170000,250000,руб.,https://hh.ru/vacancy/47176790?from=vacancy_search_list&query=Python,https://hh.ru
24,Python Developer for International Company,2000,4000,USD,https://hh.ru/vacancy/46681952?from=vacancy_search_list&query=Python,https://hh.ru
25,Machine Learning Engineer (Python),3000,5000,USD,https://hh.ru/vacancy/47025915?from=vacancy_search_list&query=Python,https://hh.ru
26,Backend developer (Python),150000,300000,руб.,https://hh.ru/vacancy/43674066?from=vacancy_search_list&query=Python,https://hh.ru
27,Программист Python,110000,110000,руб.,https://hh.ru/vacancy/46252392?from=vacancy_search_list&query=Python,https://hh.ru
28,"Full-stack Developer (Python, Javascript)",150000,,руб.,https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,https://www.superjob.ru
29,"Senior / Middle-backend-разработчик (Python, Django)",180000,220000,руб.,https://www.superjob.ru/vakansii/senior-38475078.html,https://www.superjob.ru
30,Python middle/senior,160000,200000,руб.,https://www.superjob.ru/vakansii/python-middle-38517804.html,https://www.superjob.ru
31,Python developer,160000,200000,руб.,https://www.superjob.ru/vakansii/python-developer-38429128.html,https://www.superjob.ru
32,Программист Python,210000,,руб.,https://hh.ru/vacancy/45943518?from=vacancy_search_list&query=Python,https://hh.ru
33,Инженер Linux,120000,,руб.,https://www.superjob.ru/vakansii/inzhener-linux-38745674.html,https://www.superjob.ru
34,Web-аналитик,150000,,руб.,https://www.superjob.ru/vakansii/web-analitik-36842585.html,https://www.superjob.ru
35,ML Software Engineer,170000,190000,руб.,https://www.superjob.ru/vakansii/ml-software-engineer-38643478.html,https://www.superjob.ru
36,Ведущий инженер,150000,180000,руб.,https://www.superjob.ru/vakansii/veduschij-inzhener-36502434.html,https://www.superjob.ru
37,Senior Python Developer (cybersecurity),200000,300000,руб.,https://hh.ru/vacancy/47375142?from=vacancy_search_list&query=Python,https://hh.ru
